vertex1,x,y
503,430465.45597499644,4580406.670577488
504,430485.9129040352,4580537.016069778
505,430538.36536269163,4580361.299300785
506,430680.6305233363,4580828.338402935
507,430878.6028781796,4580765.182867092
508,428686.9850878189,4581163.513294638
509,428587.86788846453,4581078.813602021
510,428887.378136844,4583061.187826735
511,429006.7782618344,4583160.4536704775
512,429198.249961225,4583322.333307047
513,429286.8413229819,4583225.153247375
514,426903.3252224062,4581001.721502419
515,426765.9455161314,4581119.768395487
516,427115.1859211026,4581180.236056541
517,426899.49232700525,4581239.025068749
518,426978.64967629185,4581303.345992336
519,427309.14254384406,4581330.989564074
520,427441.6197420438,4581373.7242872
521,427353.03042221174,4581529.833119076
522,427577.8600893044,4581427.11144932
523,427651.7312705676,4581316.392266586
524,427714.7953120966,4581500.337821894
525,428099.7026896085,4581554.632378898
526,428123.68128202885,4581735.4279511515
527,425883.2644574835,4580129.964413658
528,425966.60378628125,4580035.364726088
529,426039.7551752584,4580046.7036837125
530,425381.39324729575,4580430.642123883
531,425831.98639788077,4580036.128330057
532,425842.2309367137,4579903.596582004
533,425478.74231860583,4579585.644335298
534,425535.5813612726,4579401.932106611
535,425625.5075057354,4579208.927698229
536,425742.15764281334,4579064.799685228
537,425591.7077174255,4578989.753407661
538,425877.56662854075,4578924.333948991
539,425797.5826425602,4578820.011312238
540,425342.47799512075,4578615.096312431
541,425459.21620529704,4578485.916257397
542,425430.38068675605,4578682.936148053
543,425524.53162453877,4578751.667727802
544,425218.402471432,4578803.121280581
545,425146.5167690869,4578504.404008582
546,425269.20659936493,4578335.559266788
547,425211.89466514305,4577921.167144762
548,425305.6193725591,4577697.875605605
549,425350.3365791356,4577538.843938835
550,425524.7714324229,4576288.856597742
551,425490.66638581344,4576080.626828679
552,425604.06635482,4576450.335063121
553,425412.4090900666,4576306.08743016
554,425621.4562988776,4576062.977146759
555,425376.4824710039,4576099.253600157
556,425774.62359691045,4575508.238090011
557,428228.67131295253,4577482.941889387
558,428088.5864725996,4577197.753046297
559,428396.3984189462,4577437.410206868
560,428486.1573419776,4577678.840648683
561,428298.16637368116,4577633.91018751
562,430829.57999718055,4580613.552201939
563,430787.0791545123,4580512.977647395
564,430854.7060316463,4580485.829783142
565,430896.28015827946,4580586.657809826
566,430827.50902271026,4580419.316853851
567,430950.0497804999,4580407.535859713
568,432141.4253153884,4583563.005552943
569,432235.1251277192,4583655.303154263
570,432234.1952665309,4583470.172041058
571,432135.8775283155,4583375.108682103
572,432328.46572345064,4583373.939397062
573,432420.6210941705,4583463.788975259
574,432420.6955992454,4583280.946908446
575,432530.6301388134,4583169.043606532
576,432625.0108129,4583286.113622308
577,432678.6523175505,4582974.22742731
578,432794.5176500394,4583078.8723409595
579,432540.9298313803,4583042.952730326
580,432911.0527684503,4582820.700979225
581,432798.3088748914,4582899.0826867595
582,433023.7197423714,4582673.145784996
583,432926.12849197304,4582579.769372506
584,433111.6999417047,4582756.342126445
585,433130.09940584796,4582378.377584811
586,433452.6504782079,4582610.686414216
587,433075.0047435996,4582433.278918886
588,433348.0369558492,4582699.526770481
589,433647.18195612053,4582939.550074738
590,433607.61338476534,4582904.62057563
591,433592.6952042339,4583114.330670481
592,433907.0663637955,4583309.897799221
593,434164.1219164545,4583591.287824775
594,434092.4576979551,4583665.195840493
595,434473.4687178626,4583884.465208765
596,431926.21096651163,4582625.647516871
597,431922.32453942054,4582441.188325057
598,432115.6563281174,4582811.118843794
599,432417.16023864644,4583095.596031937
600,432022.39396401367,4582909.32070612
601,433372.386637193,4583836.822702523
602,433388.4561840847,4584002.34015445
603,433293.4395926818,4584100.725319934
604,433480.5052147764,4584095.218253007
605,433524.0229212454,4584247.330368337
606,433638.94070884044,4584322.726411382
607,433747.898503913,4584210.75599987
608,433755.18705191975,4584403.212266697
609,433680.36866751703,4585044.995405204
610,433753.5909313758,4585162.481048194
611,433805.167387225,4584916.473192798
612,433662.4879623901,4584870.500859132
613,433946.1541880124,4584773.721707074
614,434041.48417452816,4584867.570457491
615,434039.0989130218,4584677.3457028475
616,434228.61781015666,4584675.332656403
617,434134.66587190144,4584772.4370209975
618,433608.47567201,4584926.88762806
619,433823.9284356678,4584705.971926264
620,433729.1275557031,4584611.911417272
621,433943.1880967359,4584584.235044383
622,431891.49626210344,4585336.646268
623,431747.22031416325,4585156.972459659
624,431671.9251752753,4584934.771795415
625,431639.70203951874,4584866.415823701
626,431768.514071308,4584794.56868492
627,430993.90975049644,4584175.481366236
628,430810.00159874104,4584182.7213422265
629,431109.8767410082,4584242.249004112
630,431180.5188410174,4584354.74885662
631,431012.5694255633,4584341.486085429
632,431290.74523808947,4584425.737448864
633,431282.1549871542,4584267.064394999
634,431132.17468240333,4584587.944825368
635,431369.41178582225,4584536.075594342
636,431483.56326681015,4584420.390440252
637,431489.7958027034,4584759.8763132095
638,431287.4931000999,4584804.293399355
639,431637.399894635,4584596.082490089
640,431440.3899605142,4584630.298436838
641,431158.3433621713,4584738.62806287
642,431365.50545314874,4584921.915737438
643,432008.9796381519,4584245.440299604
644,431627.2099526584,4583852.475264328
645,431741.9461226637,4583963.487227434
646,431760.6663734345,4583755.409755389
647,431646.7143594801,4584061.6244889945
648,431838.2381081347,4584058.50882414
649,430715.7638745883,4585049.252821513
650,430969.7276767589,4584753.290077298
651,430878.66834681755,4584665.580036336
652,431105.4136405286,4584431.1793558
653,430496.5827117468,4585061.648803681
654,430345.4209111056,4585173.139654106
655,430589.15061499056,4585150.233392482
656,430415.1053733923,4585019.4509339435
657,430646.87024187087,4584904.127656851
658,430768.23452245456,4584779.229914361
659,430811.36375577364,4584918.647573889
660,430699.84874487657,4584662.598652454
661,430994.4516833259,4584546.301709881
662,430565.6879188564,4584803.908290007
