7,23,5,9,47
7,16,36,34,47
7,16,17,34,47
7,23,5,15,47
7,16,36,44,47
7,23,29,14,47
7,23,5,19,47
7,16,5,9,47
7,23,29,15,47
7,23,5,38,47
7,16,5,15,47
7,23,29,21,47
7,23,5,39,47
7,16,5,19,47
7,23,29,43,47
7,23,5,46,47
7,16,5,23,47
7,23,2,8,47
7,16,5,38,47
7,23,6,48,47
7,23,2,11,47
7,16,5,39,47
7,23,10,46,47
7,23,6,8,47
7,23,2,14,47
7,16,5,46,47
7,23,13,43,47
7,23,10,15,47
7,23,6,15,47
7,23,2,19,47
7,23,25,14,47
7,23,13,27,47
7,23,10,34,47
7,23,30,8,47
7,23,25,9,47
7,23,13,34,47
7,23,45,8,47
7,23,30,19,47
7,23,25,15,47
7,23,13,39,47
7,23,45,27,47
7,23,30,27,47
7,23,25,39,47
7,23,45,46,47
7,23,30,46,47
7,21,18,15,47
7,5,9,11,47
7,21,18,31,47
7,5,9,26,47
7,33,39,19,47
7,5,9,27,47
7,33,39,43,47
7,5,9,34,47
7,33,39,46,47
7,5,9,39,47
7,43,19,11,47
7,21,24,46,47
7,43,19,38,47
7,21,29,14,47
7,21,24,9,47
7,43,19,39,47
7,21,49,8,47
7,21,29,15,47
7,21,24,34,47
7,43,19,44,47
7,21,49,9,47
7,21,29,23,47
7,21,24,39,47
7,43,19,46,47
7,21,49,23,47
7,21,29,43,47
7,21,24,44,47
7,43,19,48,47
7,21,49,26,47
7,21,29,44,47
7,21,49,38,47
7,46,34,44,47
7,21,49,46,47
7,38,5,0,47
7,32,10,15,47
7,38,5,9,47
7,32,10,23,47
7,38,5,15,47
7,32,10,34,47
7,38,5,19,47
7,32,13,43,47
7,38,5,23,47
7,32,49,46,47
7,32,13,23,47
7,38,5,39,47
7,32,35,44,47
7,32,49,8,47
7,32,13,27,47
7,38,5,44,47
7,32,37,43,47
7,32,35,11,47
7,32,49,9,47
7,32,13,34,47
7,32,45,8,47
7,32,37,9,47
7,32,35,19,47
7,32,49,21,47
7,32,13,39,47
7,32,45,23,47
7,32,37,14,47
7,32,35,34,47
7,32,49,23,47
7,32,45,27,47
7,32,37,19,47
7,32,49,26,47
7,32,45,46,47
7,32,37,26,47
7,32,49,38,47
7,32,37,27,47
7,41,49,46,47
7,32,37,39,47
7,41,1,48,47
7,41,49,8,47
7,41,2,19,47
7,41,1,9,47
7,41,49,9,47
7,41,10,15,47
7,41,2,8,47
7,41,1,11,47
7,41,49,21,47
7,41,10,23,47
7,41,2,11,47
7,41,1,38,47
7,41,49,23,47
7,41,10,34,47
7,41,2,14,47
7,41,1,39,47
7,41,10,46,47
7,41,2,23,47
7,41,49,26,47
7,38,12,48,47
7,41,49,38,47
7,38,16,15,47
7,38,12,14,47
7,38,28,8,47
7,38,16,0,47
7,38,12,19,47
7,38,32,46,47
7,38,28,9,47
7,38,16,27,47
7,38,12,31,47
7,38,40,39,47
7,38,32,8,47
7,38,28,14,47
7,38,16,34,47
7,38,49,8,47
7,38,40,9,47
7,38,32,9,47
7,38,28,26,47
7,38,16,43,47
7,38,49,9,47
7,38,40,19,47
7,38,32,15,47
7,38,28,39,47
7,38,49,21,47
7,38,40,26,47
7,38,32,34,47
7,38,28,44,47
7,38,49,23,47
7,38,32,39,47
7,38,49,26,47
7,38,32,43,47
7,38,49,46,47
7,41,11,14,47
7,32,5,9,47
7,41,11,19,47
7,32,5,15,47
7,38,1,11,47
7,32,5,19,47
7,38,1,39,47
7,32,5,23,47
7,46,8,48,47
7,32,5,38,47
7,16,27,43,47
7,32,5,39,47
7,16,27,46,47
7,32,5,44,47
7,49,21,23,47
7,28,8,23,47
7,49,3,44,47
7,28,8,31,47
7,49,4,44,47
7,49,3,39,47
7,28,8,44,47
7,49,12,48,47
7,49,4,15,47
7,49,3,43,47
7,28,8,46,47
7,49,20,8,47
7,49,12,14,47
7,49,4,19,47
7,28,8,48,47
7,49,25,14,47
7,49,20,14,47
7,49,12,19,47
7,49,4,34,47
7,49,32,46,47
7,49,25,9,47
7,49,20,26,47
7,49,12,31,47
7,49,41,46,47
7,49,32,8,47
7,49,25,15,47
7,49,20,34,47
7,49,12,38,47
7,49,45,8,47
7,49,41,0,47
7,49,32,9,47
7,49,25,23,47
7,49,45,23,47
7,49,41,8,47
7,49,32,15,47
7,49,25,39,47
7,49,45,27,47
7,49,41,11,47
7,49,32,34,47
7,49,45,46,47
7,49,41,15,47
7,49,32,38,47
7,49,41,26,47
7,49,32,39,47
7,49,41,31,47
7,49,32,43,47
7,49,41,39,47
7,46,19,11,47
7,49,41,44,47
7,46,19,38,47
7,8,23,21,47
7,46,19,39,47
7,8,23,26,47
7,46,19,43,47
7,8,23,27,47
7,46,19,44,47
7,8,23,38,47
7,46,19,48,47
7,46,27,23,47
7,23,27,43,47
7,46,27,43,47
7,23,27,46,47
7,19,11,9,47
7,3,44,8,47
7,19,11,14,47
7,16,34,44,47
7,19,37,9,47
7,19,36,44,47
7,22,9,27,47
7,33,40,9,47
7,33,3,39,47
7,27,46,8,47
7,22,6,48,47
7,23,0,14,47
7,19,40,26,47
7,46,5,15,47
7,25,9,27,47
7,33,1,11,47
7,27,43,26,47
7,0,48,8,47
7,38,43,27,47
7,46,41,0,47
7,46,10,15,47
7,8,46,27,47
7,46,49,9,47
7,33,14,48,47
7,41,26,9,47
7,5,46,8,47
7,5,19,0,47
7,32,9,11,47
7,22,8,31,47
7,32,38,43,47
7,19,44,34,47
7,5,20,8,47
7,16,43,27,47
7,28,9,26,47
7,3,43,19,47
7,5,32,15,47
7,28,38,43,47
7,28,44,31,47
7,33,46,34,47
7,35,45,8,47
7,19,38,23,47
7,19,48,0,47
7,25,6,15,47
7,35,42,46,47
7,49,46,34,47
7,25,12,14,47
7,43,39,46,47
7,35,10,23,47
7,33,46,38,47
7,19,38,43,47
7,35,42,31,47
7,49,46,38,47
7,25,12,19,47
7,19,48,8,47
7,35,10,46,47
7,33,46,39,47
7,19,38,46,47
7,35,42,43,47
7,49,46,39,47
7,25,12,31,47
7,19,48,14,47
7,25,6,23,47
7,33,46,44,47
7,35,40,39,47
7,25,12,38,47
7,19,48,31,47
7,35,45,23,47
7,49,46,44,47
7,35,2,8,47
7,35,40,9,47
7,28,44,34,47
7,35,45,27,47
7,28,38,46,47
7,35,37,43,47
7,35,2,11,47
7,35,40,19,47
7,28,44,43,47
7,43,44,8,47
7,35,32,46,47
7,35,37,9,47
7,35,2,14,47
7,35,40,26,47
7,28,44,46,47
7,43,44,19,47
7,35,20,14,47
7,35,32,8,47
7,35,37,14,47
7,35,2,19,47
7,35,40,38,47
7,43,44,31,47
7,35,28,44,47
7,35,20,8,47
7,35,37,19,47
7,35,2,23,47
7,35,32,9,47
7,43,44,34,47
7,35,29,14,47
7,35,28,8,47
7,35,20,26,47
7,35,37,26,47
7,35,32,15,47
7,43,44,46,47
7,35,29,15,47
7,35,28,9,47
7,35,20,34,47
7,35,37,27,47
7,35,32,34,47
7,35,29,21,47
7,35,28,14,47
7,25,17,8,47
7,35,37,39,47
7,35,32,38,47
7,35,29,23,47
7,35,28,26,47
7,25,20,8,47
7,25,17,0,47
7,35,32,39,47
7,35,29,43,47
7,35,28,38,47
7,25,17,9,47
7,35,32,43,47
7,35,29,44,47
7,35,28,39,47
7,25,17,15,47
7,25,24,46,47
7,25,20,14,47
7,28,14,11,47
7,25,17,19,47
7,25,29,14,47
7,25,24,9,47
7,25,20,26,47
7,28,14,48,47
7,25,17,26,47
7,25,49,8,47
7,25,29,15,47
7,25,24,21,47
7,25,20,34,47
7,25,17,27,47
7,25,49,9,47
7,25,29,21,47
7,25,24,34,47
7,25,17,34,47
7,25,49,21,47
7,25,29,23,47
7,25,24,39,47
7,5,32,8,47
7,25,49,23,47
